epoch,step,train_acc,train_loss,val_acc,val_loss
29,149,0.6532835960388184,0.837978184223175,,
30,154,,,0.6414633989334106,1.0863360166549683
30,154,0.6534325480461121,0.8372007608413696,,
31,159,,,0.6439024209976196,1.084944486618042
31,159,0.6542309522628784,0.8365249037742615,,
32,164,,,0.644715428352356,1.0837095975875854
32,164,0.6545922160148621,0.8359767198562622,,
33,169,,,0.642276406288147,1.0826231241226196
33,169,0.6541979312896729,0.8355424404144287,,
34,174,,,0.639837384223938,1.081669569015503
34,174,0.6546443700790405,0.8351836800575256,,
35,179,,,0.6382113695144653,1.080830454826355
35,179,0.6549254059791565,0.8348827362060547,,
36,184,,,0.6390243768692017,1.0800896883010864
36,184,0.6553285717964172,0.8346433043479919,,
37,189,,,0.639837384223938,1.0794379711151123
37,189,0.6553596258163452,0.8344665169715881,,
38,194,,,0.6390243768692017,1.0788671970367432
38,194,0.6554980874061584,0.8343411087989807,,
39,199,,,0.6390243768692017,1.0783687829971313
39,199,0.6557823419570923,0.834250807762146,,
40,204,,,0.6365853548049927,1.0779330730438232
40,204,0.6559321880340576,0.8341867327690125,,
41,209,,,0.639837384223938,1.0775516033172607
41,209,0.6555781960487366,0.8341480493545532,,
42,214,,,0.6414633989334106,1.077218770980835
42,214,0.6557264924049377,0.8341373205184937,,
43,219,,,0.6414633989334106,1.076930046081543
43,219,0.6558712720870972,0.8341519832611084,,
44,224,,,0.6430894136428833,1.0766805410385132
44,224,0.6559431552886963,0.8341839909553528,,
45,229,,,0.642276406288147,1.0764654874801636
45,229,0.6559423208236694,0.8342247009277344,,
46,234,,,0.642276406288147,1.0762804746627808
46,234,0.65558260679245,0.8342719674110413,,
47,239,,,0.6406503915786743,1.0761222839355469
47,239,0.6556556820869446,0.8343296647071838,,
48,244,,,0.639837384223938,1.0759888887405396
48,244,0.6557615995407104,0.8344012498855591,,
49,249,,,0.639837384223938,1.0758776664733887
49,249,0.6559426784515381,0.8344841003417969,,
50,254,,,0.6382113695144653,1.0757852792739868
50,254,0.6560491323471069,0.8345702886581421,,
51,259,,,0.6382113695144653,1.0757088661193848
51,259,0.6560157537460327,0.8346538543701172,,
52,264,,,0.637398362159729,1.0756477117538452
52,264,0.6559464335441589,0.8347365260124207,,
53,269,,,0.637398362159729,1.0756014585494995
53,269,0.6558354496955872,0.8348252773284912,,
54,274,,,0.637398362159729,1.0755689144134521
54,274,0.6560883522033691,0.8349239230155945,,
55,279,,,0.6357723474502563,1.0755470991134644
55,279,0.6561217308044434,0.8350280523300171,,
56,284,,,0.6357723474502563,1.0755327939987183
56,284,0.6560496687889099,0.8351286053657532,,
57,289,,,0.6365853548049927,1.0755254030227661
57,289,0.6557236909866333,0.8352208137512207,,
58,294,,,0.6365853548049927,1.075526237487793
58,294,0.6558316946029663,0.8353093862533569,,
59,299,,,0.6365853548049927,1.075537085533142
59,299,0.6557239294052124,0.8354034423828125,,
60,304,,,0.6382113695144653,1.0755561590194702
60,304,0.655764102935791,0.8355066776275635,,
61,309,,,0.637398362159729,1.0755788087844849
61,309,0.6555842757225037,0.8356134295463562,,
62,314,,,0.6382113695144653,1.0756018161773682
62,314,0.655550479888916,0.8357124328613281,,
63,319,,,0.6382113695144653,1.0756261348724365
63,319,0.6556255221366882,0.8357993364334106,,
64,324,,,0.6382113695144653,1.075655460357666
64,324,0.655697762966156,0.8358801007270813,,
65,329,,,0.6390243768692017,1.0756927728652954
65,329,0.6558095216751099,0.8359664678573608,,
66,334,,,0.6390243768692017,1.0757355690002441
66,334,0.6557345986366272,0.836063027381897,,
